ground,preds
0.0,0.0033840611577033997
0.0,0.003386370837688446
0.0,0.0033843666315078735
0.0,0.003382377326488495
0.0,0.003381989896297455
0.0,0.0033820122480392456
0.0,0.0033826082944869995
0.0,0.0033836588263511658
0.0,0.0033847764134407043
0.0,0.003439687192440033
0.0,0.003050096333026886
0.0,0.0030546635389328003
0.0,0.0031744390726089478
0.0,0.003296501934528351
0.0,0.003385215997695923
0.0,0.0034383386373519897
0.0,0.00349261611700058
0.0,0.0035248398780822754
0.0,0.0035445094108581543
0.0,0.0035563036799430847
0.0,0.0035627633333206177
0.0,0.003563918173313141
0.0,0.0035647600889205933
0.0,0.0035716071724891663
0.0,0.003579556941986084
0.0,0.003584921360015869
0.0,0.0035887733101844788
0.0,0.0035912618041038513
0.0,0.0035928040742874146
0.0,0.003593727946281433
0.0,0.0035941749811172485
0.0,0.003594405949115753
0.0,0.0035945624113082886
0.0,0.0035946667194366455
0.0,0.003594696521759033
0.0,0.0035947635769844055
0.0,0.0035942047834396362
0.0,0.0035980790853500366
0.0,0.0035980045795440674
0.0,0.003590717911720276
0.0,0.003586284816265106
0.0,0.003582902252674103
0.0,0.0035766586661338806
0.0,0.003576718270778656
0.0,0.0035849586129188538
0.0,0.0035903379321098328
0.0,0.003594532608985901
0.0,0.0035974234342575073
0.0,0.003599204123020172
0.0,0.003600180149078369
0.0,0.003600761294364929
0.0,0.0036011487245559692
0.0,0.0036013424396514893
0.0,0.003601454198360443
0.0,0.0036014914512634277
0.0,0.0036015212535858154
0.0,0.0036015138030052185
0.0,0.0036015585064888
0.0,0.0036016255617141724
0.0,0.0036016330122947693
0.0,0.003601640462875366
0.0,0.0036016032099723816
0.0,0.003601573407649994
0.0,0.003601551055908203
0.0,0.003601580858230591
0.0,0.0036015883088111877
0.0,0.0036016032099723816
0.0,0.003601573407649994
0.0,0.0036014392971992493
0.0,0.0036014989018440247
0.0,0.0036017373204231262
0.0,0.0036018043756484985
0.0,0.0036019086837768555
0.0,0.0036020278930664062
0.0,0.003602065145969391
0.0,0.0036021098494529724
0.0,0.0036021173000335693
0.0,0.003602035343647003
0.0,0.0036020204424858093
0.0,0.003602266311645508
0.0,0.0036026686429977417
0.0,0.0036029815673828125
0.0,0.0036031827330589294
0.0,0.003603324294090271
0.0,0.0036033689975738525
0.0,0.003603428602218628
0.0,0.0036034956574440002
0.0,0.0036035552620887756
0.0,0.0036034882068634033
0.0,0.0036034733057022095
0.0,0.0036035552620887756
0.0,0.0036035776138305664
0.0,0.003603629767894745
0.0,0.0036036595702171326
0.0,0.003603726625442505
0.0,0.0036037564277648926
0.0,0.0036036819219589233
0.0,0.0036036893725395203
0.0,0.003603801131248474
0.0,0.0036037862300872803
0.0,0.0036037564277648926
0.0,0.003603823482990265
0.0,0.003603793680667877
0.0,0.003603704273700714
0.0,0.0036036893725395203
0.0,0.0036036521196365356
0.0,0.0036036595702171326
0.0,0.0036037415266036987
0.0,0.003603816032409668
0.0,0.0036038532853126526
0.0,0.0036038383841514587
0.0,0.0036038532853126526
0.0,0.0036038607358932495
0.0,0.003603830933570862
0.0,0.003603830933570862
0.0,0.0036037787795066833
0.0,0.003603726625442505
0.0,0.0036037489771842957
0.0,0.003603801131248474
0.0,0.0036038532853126526
0.0,0.0036038607358932495
0.0,0.0036038383841514587
0.0,0.003603823482990265
0.0,0.003603808581829071
0.0,0.003603816032409668
0.0,0.003603816032409668
0.0,0.0036038383841514587
0.0,0.0036038681864738464
0.0,0.003603823482990265
0.0,0.003603816032409668
0.0,0.003603823482990265
0.0,0.0036038458347320557
0.0,0.003603927791118622
0.0,0.0036039426922798157
0.0,0.003603927791118622
0.0,0.003603920340538025
